gene,selected_by_anova,selected_by_nsc,selected_by_both
gene_1544,True,True,True
gene_1545,True,True,True
gene_15453,False,True,False
gene_15473,True,True,True
gene_15475,False,True,False
gene_1549,False,True,False
gene_15517,True,False,False
gene_15525,True,True,True
gene_15577,True,True,True
gene_15583,True,True,True
gene_15586,False,True,False
gene_15589,True,True,True
gene_15590,False,True,False
gene_15591,True,True,True
gene_15615,True,False,False
gene_15633,True,True,True
gene_1565,True,False,False
gene_1566,True,True,True
gene_15668,True,True,True
gene_15688,True,False,False
gene_15709,True,True,True
gene_15736,True,True,True
gene_15792,True,False,False
gene_15793,False,True,False
gene_15800,True,True,True
gene_15803,True,True,True
gene_15807,False,True,False
gene_15818,True,True,True
gene_15843,True,False,False
gene_15863,True,True,True
gene_15866,False,True,False
gene_15893,True,True,True
gene_15894,True,True,True
gene_15895,True,True,True
gene_15896,True,True,True
gene_15897,True,True,True
gene_15898,True,True,True
gene_15899,True,True,True
gene_15900,True,True,True
gene_15906,True,True,True
gene_15912,True,True,True
gene_15918,True,False,False
gene_15952,True,False,False
gene_15983,True,True,True
gene_15987,True,True,True
gene_15996,True,True,True
gene_15999,True,True,True
gene_16036,True,True,True
gene_16044,True,True,True
gene_16058,True,False,False
gene_16061,True,True,True
gene_16064,True,True,True
gene_16088,True,True,True
gene_16105,True,True,True
gene_16115,True,False,False
gene_16118,True,True,True
gene_16123,True,False,False
gene_16124,True,True,True
gene_16130,True,True,True
gene_16131,True,True,True
gene_16132,True,True,True
gene_16133,True,True,True
gene_16146,False,True,False
gene_16155,True,True,True
gene_16156,True,True,True
gene_16169,True,True,True
gene_16170,True,True,True
gene_16173,True,True,True
gene_16174,True,True,True
gene_16175,False,True,False
gene_16179,True,True,True
gene_16221,True,False,False
gene_16233,False,True,False
gene_16239,True,True,True
gene_16246,True,True,True
gene_1625,True,True,True
gene_16250,True,True,True
gene_16255,True,True,True
gene_16259,True,True,True
gene_16263,False,True,False
gene_16267,False,True,False
gene_16272,True,True,True
gene_16282,False,True,False
gene_16283,True,True,True
gene_16298,False,True,False
gene_16313,True,False,False
gene_16316,True,True,True
gene_16318,True,True,True
gene_1633,True,True,True
gene_16332,True,False,False
gene_16337,True,True,True
gene_16338,True,False,False
gene_16342,True,True,True
gene_16348,True,False,False
gene_16358,True,True,True
gene_16363,True,True,True
gene_16372,True,True,True
gene_16377,True,True,True
gene_16379,True,True,True
gene_16388,True,True,True
gene_16391,True,True,True
gene_16392,True,True,True
gene_16393,False,True,False
gene_16397,False,True,False
gene_16398,True,True,True
gene_16402,True,True,True
gene_16406,False,True,False
gene_16407,True,True,True
gene_16415,False,True,False
gene_16424,True,True,True
gene_16431,False,True,False
gene_16440,True,False,False
gene_16448,True,False,False
gene_16449,True,True,True
gene_16460,False,True,False
gene_16500,True,False,False
gene_16541,True,True,True
gene_16559,True,True,True
gene_1663,True,True,True
gene_1664,True,True,True
gene_1676,True,False,False
gene_1679,True,True,True
gene_16949,True,False,False
gene_16957,True,True,True
gene_16974,True,False,False
gene_17009,False,True,False
gene_17010,True,True,True
gene_17033,False,True,False
gene_17048,True,True,True
gene_17060,True,True,True
gene_17109,True,True,True
gene_17128,True,False,False
gene_17145,False,True,False
gene_17147,True,True,True
gene_1715,True,False,False
gene_17166,False,True,False
gene_17168,True,True,True
gene_17170,False,True,False
gene_172,True,True,True
gene_17208,True,True,True
gene_17228,True,True,True
gene_1726,True,True,True
gene_17287,False,True,False
gene_17304,True,False,False
gene_17316,True,True,True
gene_17317,False,True,False
gene_17320,False,True,False
gene_17331,True,False,False
gene_17347,True,False,False
gene_1735,True,True,True
gene_17360,True,False,False
gene_17375,True,True,True
gene_17376,True,True,True
gene_17394,True,True,True
gene_17395,True,False,False
gene_17421,False,True,False
gene_17426,True,False,False
gene_17441,True,True,True
gene_17455,False,True,False
gene_17457,True,True,True
gene_17458,True,True,True
gene_17476,True,True,True
gene_17477,True,True,True
gene_17482,True,True,True
gene_1750,True,True,True
gene_17512,True,False,False
gene_17522,True,True,True
gene_17537,True,True,True
gene_17552,True,False,False
gene_17566,True,True,True
gene_17585,True,True,True
gene_17588,True,True,True
gene_1759,True,True,True
gene_17613,True,True,True
gene_17643,True,False,False
gene_17647,False,True,False
gene_17664,True,True,True
gene_17738,True,True,True
gene_17751,True,True,True
gene_17764,True,True,True
gene_17769,True,True,True
gene_17770,True,True,True
gene_17771,True,True,True
gene_17782,False,True,False
gene_17801,True,True,True
gene_17818,True,True,True
gene_17836,True,True,True
gene_17837,True,True,True
gene_1784,True,True,True
gene_17847,False,True,False
gene_17852,True,False,False
gene_1788,True,False,False
gene_17881,False,True,False
gene_17883,True,False,False
gene_17890,False,True,False
gene_17904,True,True,True
gene_17905,True,True,True
gene_17906,True,True,True
gene_17916,False,True,False
gene_17919,True,True,True
gene_17926,True,False,False
gene_17932,True,True,True
gene_17947,True,True,True
gene_17949,True,True,True
gene_1795,True,True,True
gene_17993,True,True,True
gene_18,True,True,True
gene_180,True,True,True
gene_1800,True,True,True
gene_1801,False,True,False
gene_18024,False,True,False
gene_18042,True,True,True
gene_18051,True,True,True
gene_18072,False,True,False
gene_18086,True,True,True
gene_18089,True,True,True
gene_18091,True,True,True
gene_18107,True,True,True
gene_18108,True,True,True
gene_18135,True,True,True
gene_18141,True,False,False
gene_18172,True,False,False
gene_18175,True,False,False
gene_18178,True,True,True
gene_18191,True,False,False
gene_18203,True,True,True
gene_18212,True,True,True
gene_18214,True,True,True
gene_18216,True,True,True
gene_18217,True,True,True
gene_18219,False,True,False
gene_18243,True,True,True
gene_18261,True,True,True
gene_18270,True,False,False
gene_18280,True,False,False
gene_18282,True,True,True
gene_18285,True,True,True
gene_18290,True,True,True
gene_18324,False,True,False
gene_18333,True,True,True
gene_18335,True,False,False
gene_18338,True,True,True
gene_18339,True,True,True
gene_18353,True,True,True
gene_18354,True,False,False
gene_18379,True,True,True
gene_18381,True,True,True
gene_18383,True,True,True
gene_18389,True,True,True
gene_18391,True,True,True
gene_184,True,False,False
gene_18407,True,True,True
gene_18415,True,False,False
gene_18444,True,False,False
gene_18447,True,False,False
gene_1846,False,True,False
gene_18478,False,True,False
gene_18547,True,False,False
gene_1858,True,True,True
gene_18614,True,True,True
gene_18624,False,True,False
gene_18632,True,True,True
gene_18636,True,True,True
gene_18650,True,True,True
gene_18655,False,True,False
gene_18660,True,True,True
gene_18676,True,True,True
gene_18700,False,True,False
gene_18734,True,False,False
gene_18740,True,True,True
gene_18741,True,True,True
gene_18745,True,True,True
gene_18746,True,True,True
gene_18753,True,True,True
gene_18771,True,True,True
gene_18792,True,True,True
gene_18793,True,True,True
gene_18810,True,True,True
gene_18811,True,False,False
gene_18867,True,False,False
gene_18905,True,True,True
gene_18906,True,True,True
gene_18970,False,True,False
gene_19070,True,False,False
gene_1913,False,True,False
gene_19148,True,True,True
gene_19151,True,True,True
gene_19153,True,True,True
gene_19159,True,True,True
gene_19160,True,True,True
gene_1917,True,True,True
gene_19190,True,False,False
gene_19192,False,True,False
gene_19193,True,True,True
gene_19201,True,True,True
gene_19210,True,True,True
gene_19213,True,False,False
gene_1923,True,True,True
gene_19236,True,True,True
gene_19279,False,True,False
gene_19296,True,True,True
gene_19313,True,True,True
gene_19339,True,True,True
gene_19343,True,True,True
gene_19356,True,True,True
gene_19357,True,True,True
gene_19373,True,True,True
gene_19375,True,False,False
gene_19377,True,True,True
gene_19442,True,True,True
gene_19446,True,True,True
gene_19454,True,True,True
gene_19462,False,True,False
gene_19486,False,True,False
gene_19542,True,True,True
gene_19545,False,True,False
gene_19563,True,False,False
gene_19586,True,False,False
gene_19606,True,True,True
gene_19615,True,True,True
gene_19623,True,True,True
gene_19634,False,True,False
gene_19648,True,True,True
gene_19657,False,True,False
gene_19661,False,True,False
gene_19669,True,True,True
gene_197,True,False,False
gene_19710,True,False,False
gene_19829,True,False,False
gene_19913,False,True,False
gene_19914,True,True,True
gene_19915,False,True,False
gene_1992,False,True,False
gene_2006,True,True,True
gene_20079,True,True,True
gene_20109,True,True,True
gene_2013,True,False,False
gene_20130,True,True,True
gene_20208,True,True,True
gene_20254,True,False,False
gene_20293,True,False,False
gene_20295,True,False,False
gene_203,True,True,True
gene_20305,False,True,False
gene_2037,True,True,True
gene_20392,True,True,True
gene_20440,False,True,False
gene_2054,True,True,True
gene_2073,True,True,True
gene_2105,True,True,True
gene_2107,True,True,True
gene_2116,False,True,False
gene_2129,True,True,True
gene_2137,False,True,False
gene_216,True,False,False
gene_2163,True,False,False
gene_2167,True,True,True
gene_2179,True,False,False
gene_218,False,True,False
gene_219,True,True,True
gene_2192,True,False,False
gene_2196,True,True,True
gene_220,True,True,True
gene_2201,True,False,False
gene_2205,True,True,True
gene_221,True,True,True
gene_2223,False,True,False
gene_223,True,True,True
gene_2248,False,True,False
gene_2279,True,True,True
gene_2288,True,True,True
gene_2298,True,False,False
gene_2303,True,True,True
gene_231,False,True,False
gene_2318,True,True,True
gene_233,False,True,False
gene_2347,True,True,True
gene_2352,True,True,True
gene_2382,True,True,True
gene_2392,False,True,False
gene_2427,True,False,False
gene_2448,True,True,True
gene_2506,True,True,True
gene_2537,True,True,True
gene_2543,True,True,True
gene_2572,False,True,False
gene_2575,True,False,False
gene_2601,True,True,True
gene_2620,True,True,True
gene_263,True,True,True
gene_2638,True,True,True
gene_2639,True,True,True
gene_2704,True,True,True
gene_271,True,True,True
gene_2725,True,False,False
gene_2729,False,True,False
gene_2747,True,True,True
gene_2769,True,True,True
gene_2774,True,True,True
gene_2778,True,False,False
gene_2811,True,True,True
gene_2822,True,False,False
gene_2831,True,False,False
gene_2844,True,True,True
gene_2845,True,False,False
gene_2851,True,True,True
gene_2879,False,True,False
gene_2900,False,True,False
gene_2909,True,False,False
gene_2910,False,True,False
gene_2919,True,False,False
gene_2928,True,False,False
gene_2938,True,False,False
gene_2945,True,False,False
gene_2951,True,True,True
gene_2954,True,True,True
gene_2955,False,True,False
gene_2992,True,False,False
gene_2999,True,True,True
gene_30,True,True,True
gene_3010,True,True,True
gene_3020,True,False,False
gene_3027,True,True,True
gene_3063,True,False,False
gene_318,True,True,True
gene_319,True,False,False
gene_3214,False,True,False
gene_3216,False,True,False
gene_3217,True,True,True
gene_3219,True,True,True
gene_3225,True,True,True
gene_3229,True,True,True
gene_3257,True,False,False
gene_3263,True,False,False
gene_3360,True,False,False
gene_3366,True,False,False
gene_3369,True,True,True
gene_3385,True,False,False
gene_3434,True,True,True
gene_3437,False,True,False
gene_3439,True,True,True
gene_3440,True,True,True
gene_3448,True,True,True
gene_3449,False,True,False
gene_3450,True,True,True
gene_3451,False,True,False
gene_3453,True,True,True
gene_3457,True,False,False
gene_3458,True,True,True
gene_3461,True,True,True
gene_3472,True,True,True
gene_3493,True,False,False
gene_352,True,True,True
gene_3523,True,True,True
gene_3524,True,True,True
gene_3535,True,True,True
gene_3540,True,True,True
gene_3541,True,True,True
gene_3542,True,True,True
gene_3554,True,True,True
gene_3567,False,True,False
gene_357,False,True,False
gene_3586,True,False,False
gene_3619,True,False,False
gene_362,True,True,True
gene_3628,True,True,True
gene_3630,True,True,True
gene_3639,True,True,True
gene_3645,True,True,True
gene_3656,False,True,False
gene_3691,False,True,False
gene_3695,True,True,True
gene_371,False,True,False
gene_3720,True,True,True
gene_3730,True,True,True
gene_3737,True,True,True
gene_375,True,True,True
gene_3754,True,True,True
gene_3761,False,True,False
gene_3780,True,False,False
gene_3784,False,True,False
gene_3785,True,True,True
gene_380,True,True,True
gene_3806,False,True,False
gene_381,True,True,True
gene_3813,True,True,True
gene_3823,True,True,True
gene_3829,True,True,True
gene_3836,True,True,True
gene_3843,True,True,True
gene_3849,True,True,True
gene_3860,True,True,True
gene_3861,True,True,True
gene_3862,True,True,True
gene_39,True,True,True
gene_3921,True,True,True
gene_3924,False,True,False
gene_3925,True,False,False
gene_3931,True,False,False
gene_3958,True,False,False
gene_3970,True,True,True
gene_3973,False,True,False
gene_4030,True,True,True
gene_4031,False,True,False
gene_4046,True,True,True
gene_4051,True,True,True
gene_4057,True,True,True
gene_4058,True,False,False
gene_4068,True,False,False
gene_4089,False,True,False
gene_4121,True,True,True
gene_4170,True,True,True
gene_4178,True,True,True
gene_4180,False,True,False
gene_4182,True,False,False
gene_4210,True,True,True
gene_4221,True,True,True
gene_4223,True,True,True
gene_4224,True,True,True
gene_4226,True,True,True
gene_4247,False,True,False
gene_4274,True,True,True
gene_4288,True,False,False
gene_4289,False,True,False
gene_429,True,False,False
gene_4291,True,False,False
gene_4305,True,True,True
gene_4308,False,True,False
gene_4378,False,True,False
gene_439,True,True,True
gene_440,False,True,False
gene_4409,True,False,False
gene_4420,True,False,False
gene_4422,True,True,True
gene_4429,True,False,False
gene_4442,True,True,True
gene_445,False,True,False
gene_4456,True,True,True
gene_4464,True,True,True
gene_4476,True,True,True
gene_4479,True,True,True
gene_450,True,True,True
gene_4553,False,True,False
gene_4566,True,True,True
gene_4568,True,False,False
gene_4578,True,True,True
gene_4580,True,True,True
gene_4584,True,True,True
gene_4585,False,True,False
gene_4587,True,True,True
gene_4598,False,True,False
gene_4599,False,True,False
gene_4603,True,True,True
gene_4605,False,True,False
gene_4617,True,True,True
gene_4618,True,True,True
gene_4625,True,True,True
gene_4640,True,True,True
gene_4675,False,True,False
gene_4737,True,True,True
gene_4773,True,True,True
gene_4805,False,True,False
gene_4833,True,True,True
gene_4862,True,False,False
gene_4866,True,True,True
gene_487,True,False,False
gene_4877,True,True,True
gene_4881,True,True,True
gene_4885,True,True,True
gene_4901,True,True,True
gene_4918,True,True,True
gene_4954,True,True,True
gene_5009,False,True,False
gene_5017,True,True,True
gene_5021,True,True,True
gene_5036,True,False,False
gene_5040,True,True,True
gene_5050,True,True,True
gene_5107,False,True,False
gene_5144,True,False,False
gene_5157,True,True,True
gene_5158,True,True,True
gene_5163,False,True,False
gene_5174,True,True,True
gene_5186,True,False,False
gene_5188,False,True,False
gene_5199,True,True,True
gene_5202,True,False,False
gene_5217,False,True,False
gene_5254,False,True,False
gene_5256,True,True,True
gene_5316,True,False,False
gene_535,False,True,False
gene_537,True,True,True
gene_5376,False,True,False
gene_5407,True,True,True
gene_5410,True,True,True
gene_5422,True,False,False
gene_5430,True,True,True
gene_5431,False,True,False
gene_544,True,False,False
gene_5442,True,True,True
gene_5443,True,True,True
gene_545,True,True,True
gene_5453,False,True,False
gene_550,True,True,True
gene_5520,True,False,False
gene_553,True,True,True
gene_5558,True,True,True
gene_5561,False,True,False
gene_5575,True,True,True
gene_5576,True,True,True
gene_5577,True,True,True
gene_5578,True,True,True
gene_5580,True,False,False
gene_5581,True,True,True
gene_5590,True,False,False
gene_5597,True,True,True
gene_5598,True,True,True
gene_5599,False,True,False
gene_5600,True,True,True
gene_5604,True,True,True
gene_5609,True,True,True
gene_5625,True,True,True
gene_5632,True,True,True
gene_5635,False,True,False
gene_5640,True,True,True
gene_5642,True,True,True
gene_5645,True,True,True
gene_5646,True,True,True
gene_5651,False,True,False
gene_5657,True,True,True
gene_5665,False,True,False
gene_5667,True,True,True
gene_5668,True,False,False
gene_5680,False,True,False
gene_5709,True,True,True
gene_5722,True,True,True
gene_5727,True,True,True
gene_5729,True,True,True
gene_5730,True,False,False
gene_5747,True,False,False
gene_5752,True,True,True
gene_5765,True,True,True
gene_5774,True,True,True
gene_5815,False,True,False
gene_5823,True,False,False
gene_5829,True,True,True
gene_5830,True,True,True
gene_5835,True,True,True
gene_5836,False,True,False
gene_5856,True,False,False
gene_5869,True,False,False
gene_590,True,True,True
gene_5918,True,True,True
gene_592,True,True,True
gene_5934,True,False,False
gene_5936,False,True,False
gene_5937,True,True,True
gene_5940,True,True,True
gene_5941,True,True,True
gene_5944,True,False,False
gene_5985,True,False,False
gene_5988,True,True,True
gene_6030,False,True,False
gene_6036,True,True,True
gene_6072,True,True,True
gene_609,True,True,True
gene_6101,True,True,True
gene_6104,False,True,False
gene_6160,True,True,True
gene_6164,True,True,True
gene_6215,True,True,True
gene_6226,True,True,True
gene_6252,False,True,False
gene_6257,True,False,False
gene_6265,True,True,True
gene_628,True,True,True
gene_6308,True,True,True
gene_6330,True,True,True
gene_6355,True,True,True
gene_6361,True,True,True
gene_6378,True,True,True
gene_638,True,True,True
gene_6410,False,True,False
gene_6432,True,True,True
gene_6487,True,True,True
gene_6530,True,True,True
gene_6543,True,True,True
gene_6556,True,True,True
gene_656,True,True,True
gene_6572,False,True,False
gene_6583,True,True,True
gene_6584,True,True,True
gene_6585,True,False,False
gene_6593,True,True,True
gene_6594,True,True,True
gene_6595,False,True,False
gene_6599,False,True,False
gene_660,False,True,False
gene_661,True,True,True
gene_6611,True,True,True
gene_6615,False,True,False
gene_6638,False,True,False
gene_6651,True,False,False
gene_6687,False,True,False
gene_6693,False,True,False
gene_6719,True,True,True
gene_6720,True,True,True
gene_6721,True,False,False
gene_6723,True,False,False
gene_6733,True,True,True
gene_6734,True,True,True
gene_6747,True,False,False
gene_6748,True,True,True
gene_6760,True,True,True
gene_6789,True,True,True
gene_6816,True,True,True
gene_6828,True,True,True
gene_6830,True,True,True
gene_6833,False,True,False
gene_6836,True,True,True
gene_6838,True,True,True
gene_6839,True,True,True
gene_6875,False,True,False
gene_6876,True,True,True
gene_6884,True,True,True
gene_6890,True,True,True
gene_6925,True,True,True
gene_6926,True,True,True
gene_6935,True,True,True
gene_6937,True,True,True
gene_6940,False,True,False
gene_6945,True,True,True
gene_6994,False,True,False
gene_6996,True,True,True
gene_6998,True,True,True
gene_7026,True,True,True
gene_7031,True,False,False
gene_7040,False,True,False
gene_7058,True,True,True
gene_706,True,True,True
gene_7062,False,True,False
gene_7063,True,False,False
gene_707,False,True,False
gene_7073,False,True,False
gene_7079,True,True,True
gene_7113,True,True,True
gene_7116,True,True,True
gene_7118,True,False,False
gene_7123,True,False,False
gene_7134,True,True,True
gene_7176,True,False,False
gene_7178,True,True,True
gene_7238,True,True,True
gene_7292,False,True,False
gene_7343,True,True,True
gene_7350,True,True,True
gene_7379,True,True,True
gene_7390,True,False,False
gene_7395,True,True,True
gene_7396,True,True,True
gene_740,True,True,True
gene_7417,True,False,False
gene_7418,False,True,False
gene_742,True,True,True
gene_7420,True,True,True
gene_7421,True,True,True
gene_7436,False,True,False
gene_7489,True,True,True
gene_7490,True,True,True
gene_750,True,False,False
gene_753,True,True,True
gene_7535,True,False,False
gene_7554,True,True,True
gene_7560,True,True,True
gene_7577,False,True,False
gene_7610,False,True,False
gene_7623,True,True,True
gene_7625,True,True,True
gene_7649,True,True,True
gene_7650,True,False,False
gene_768,True,True,True
gene_775,True,True,True
gene_7790,True,True,True
gene_7792,True,True,True
gene_7896,True,True,True
gene_793,True,True,True
gene_7932,True,False,False
gene_7937,True,False,False
gene_7954,True,True,True
gene_7963,True,True,True
gene_7964,True,True,True
gene_7965,True,True,True
gene_7992,True,True,True
gene_7998,True,True,True
gene_8002,True,False,False
gene_8003,True,True,True
gene_8004,True,True,True
gene_8005,True,True,True
gene_8009,True,True,True
gene_8013,True,True,True
gene_8014,True,True,True
gene_8022,True,True,True
gene_8023,False,True,False
gene_8024,True,False,False
gene_8027,False,True,False
gene_8031,True,True,True
gene_8032,True,True,True
gene_8036,False,True,False
gene_8043,True,True,True
gene_8050,True,True,True
gene_8072,False,True,False
gene_8076,True,True,True
gene_8086,True,True,True
gene_8099,True,False,False
gene_8107,True,True,True
gene_8133,True,False,False
gene_817,True,False,False
gene_8199,True,True,True
gene_8216,True,False,False
gene_8220,True,True,True
gene_8221,False,True,False
gene_83,False,True,False
gene_8322,True,True,True
gene_8348,True,True,True
gene_8349,True,True,True
gene_8350,True,False,False
gene_836,True,True,True
gene_8408,True,True,True
gene_8410,False,True,False
gene_8413,True,True,True
gene_8433,True,False,False
gene_845,True,True,True
gene_855,False,True,False
gene_8584,True,True,True
gene_8594,False,True,False
gene_8595,False,True,False
gene_8596,True,True,True
gene_8597,True,True,True
gene_8598,True,True,True
gene_8607,True,True,True
gene_8616,True,True,True
gene_863,True,True,True
gene_8658,True,True,True
gene_8664,True,False,False
gene_8681,True,False,False
gene_87,False,True,False
gene_8713,True,True,True
gene_872,True,True,True
gene_8741,True,True,True
gene_8776,True,True,True
gene_8788,True,True,True
gene_8794,True,True,True
gene_88,True,False,False
gene_8800,True,True,True
gene_8801,True,True,True
gene_8819,True,False,False
gene_8831,True,True,True
gene_884,False,True,False
gene_8850,True,True,True
gene_888,True,True,True
gene_8891,True,True,True
